DateTime,Outdoor global irradiation(W m⁻²),Outdoor air temperature(°C),Outdoor vapor concentration(kg m⁻³),Outdoor CO2 concentration(kg{CO2} m⁻³{air}),Outdoor wind speed(m s⁻¹),Sky temperature(°C),Temperature of external soil layer (°C),Daily light sum (MJ m⁻² day⁻¹),Elevation (m),Outdoor vapor pressure (Pa)
726182.7916666666,0,6.0,0.0043471565943577085,0.0007877350463110682,1.5,-6.6473766902308284,5.744507120370383,14.579999999999998,35.0,3.149628409311285e-07
726182.8333333334,0,7.0,0.0040209464922030475,0.0007849232131991243,1.5,-5.951238527387773,5.74655784815375,14.579999999999998,35.0,3.1092328256076903e-07
726182.875,0,4.0,0.004064156436188535,0.0007934195857035349,2.1,-8.769193953872843,5.748612247105089,14.579999999999998,35.0,2.580838677783233e-07
726182.9166666666,0,4.0,0.004064156436188535,0.0007934195857035349,0.0,-8.769193953872843,5.750670316167494,14.579999999999998,35.0,2.580838677783233e-07
726182.9583333334,0,3.0,0.0037422455032515055,0.0007962927328543715,1.5,-9.970409963495001,5.752732054282172,14.579999999999998,35.0,2.2229208581914463e-07
726183.0,0,2.0,0.003720652304195605,0.0007991867642294555,1.5,-10.943364102196256,5.754797460388439,6.5016,35.0,2.066157249062099e-07
726183.0416666666,0,2.0,0.0034429916844795146,0.0007991867642294555,1.5,-11.18830284301032,5.75686653342373,6.5016,35.0,1.9119664095798524e-07
726183.0833333334,0,1.0,0.003476320204818644,0.0008021019083630665,1.5,-12.174993432191002,5.758939272323584,6.5016,35.0,1.8037018158851252e-07
726183.125,0,2.0,0.0034429916844795146,0.0007991867642294555,2.1,-11.18830284301032,5.761015676021667,6.5016,35.0,1.9119664095798524e-07
726183.1666666666,0,2.0,0.0034429916844795146,0.0007991867642294555,2.1,-11.18830284301032,5.763095743449749,6.5016,35.0,1.9119664095798524e-07
726183.2083333334,0,2.0,0.003720652304195605,0.0007991867642294555,1.0,-10.943364102196256,5.765179473537721,6.5016,35.0,2.066157249062099e-07
726183.25,1,3.0,0.004039249114620673,0.0007962927328543715,2.6,-9.728849736734674,5.767266865213584,6.5016,35.0,2.3993431485241016e-07
726183.2916666666,25,5.0,0.00474943086396699,0.0007905670975291559,2.6,-7.349013202905894,5.769357917403461,6.5016,35.0,3.2224419330860324e-07
726183.3333333334,87,6.0,0.004709419643887517,0.0007877350463110682,5.1,-6.414724680562358,5.77145262903159,6.5016,35.0,3.4120974434205593e-07
726183.375,151,7.0,0.004716879538930498,0.0007849232131991243,7.2,-5.490151805736218,5.773550999020322,6.5016,35.0,3.6473692761936367e-07
726183.4166666666,204,7.0,0.004330250068526359,0.0007849232131991243,7.2,-5.720397049500946,5.7756530262901355,6.5016,35.0,3.348404581423666e-07
726183.4583333334,240,8.0,0.004701474445577088,0.0007821313824568191,5.7,-4.575062054595946,5.7777587097596195,6.5016,35.0,3.877870519721823e-07
726183.5,257,7.0,0.004330250068526359,0.0007849232131991243,6.7,-5.720397049500946,5.7798680483454845,6.5016,35.0,3.348404581423666e-07
726183.5416666666,252,7.0,0.004330250068526359,0.0007849232131991243,5.1,-5.720397049500946,5.78198104096256,6.5016,35.0,3.348404581423666e-07
726183.5833333334,225,7.0,0.004716879538930498,0.0007849232131991243,4.6,-5.490151805736218,5.784097686523795,6.5016,35.0,3.6473692761936367e-07
726183.625,180,7.0,0.005412812585657947,0.0007849232131991243,5.1,-5.031435730263695,5.786217983940262,6.5016,35.0,4.1855057267795825e-07
726183.6666666666,121,7.0,0.006263397420547054,0.0007849232131991243,5.1,-4.575062054595946,5.78834193212115,6.5016,35.0,4.843228055273517e-07
726183.7083333334,56,6.0,0.0063033770618186775,0.0007877350463110682,3.6,-5.490151805736218,5.7904695299737785,6.5016,35.0,4.5669611935013643e-07
726183.75,7,6.0,0.0063033770618186775,0.0007877350463110682,3.1,-5.490151805736218,5.79260077640358,6.5016,35.0,4.5669611935013643e-07
726183.7916666666,0,5.0,0.006309958147841858,0.0007905670975291559,3.6,-6.414724680562358,5.794735670314115,6.5016,35.0,4.2812442825285857e-07
